sourceRow,applyOverride,Ngay thang,MaLop,TenLop,Giáo viên,TenThu,Buoi so,So_gio_GV,TenLop2,am/pm,Column1,notes
304,,,,,,T7,N,1,(+),(,11900,
305,,,,,,T7,N,1,(+),(,11900,
306,,,,,,T7,N,1,(+),(,11900,
307,,,,,,T7,N,1,(+),(,11900,
308,,,,,,T7,N,1,(+),(,11900,
309,,,,,,T7,N,1,(+),(,11900,
310,,,,,,T7,N,1,(+),(,11900,
311,,,,,,T7,N,1,(+),(,11900,
312,,,,,,T7,N,1,(+),(,11900,
313,,,,,,T7,N,1,(+),(,11900,
314,,,,,,T7,N,1,(+),(,11900,
315,,,,,,T7,N,1,(+),(,11900,
316,,,,,,T7,N,1,(+),(,11900,
317,,,,,,T7,N,1,(+),(,11900,
318,,,,,,T7,N,1,(+),(,11900,
319,,,,,,T7,N,1,(+),(,11900,
320,,,,,,T7,N,1,(+),(,11900,
321,,,,,,T7,N,1,(+),(,11900,
322,,,,,,T7,N,1,(+),(,11900,
323,,,,,,T7,N,1,(+),(,11900,
324,,,,,,T7,N,1,(+),(,11900,
325,,,,,,T7,N,1,(+),(,11900,
326,,,,,,T7,N,1,(+),(,11900,
327,,,,,,T7,N,1,(+),(,11900,
328,,,,,,T7,N,1,(+),(,11900,
329,,,,,,T7,N,1,(+),(,11900,
330,,,,,,T7,N,1,(+),(,11900,
331,,,,,,T7,N,1,(+),(,11900,
332,,,,,,T7,N,1,(+),(,11900,
333,,,,,,T7,N,1,(+),(,11900,
334,,,,,,T7,N,1,(+),(,11900,
335,,,,,,T7,N,1,(+),(,11900,
336,,,,,,T7,N,1,(+),(,11900,
337,,,,,,T7,N,1,(+),(,11900,
338,,,,,,T7,N,1,(+),(,11900,
339,,,,,,T7,N,1,(+),(,11900,
340,,,,,,T7,N,1,(+),(,11900,
341,,,,,,T7,N,1,(+),(,11900,
342,,,,,,T7,N,1,(+),(,11900,
343,,,,,,T7,N,1,(+),(,11900,
344,,,,,,T7,N,1,(+),(,11900,
345,,,,,,T7,N,1,(+),(,11900,
346,,,,,,T7,N,1,(+),(,11900,
347,,,,,,T7,N,1,(+),(,11900,
348,,,,,,T7,N,1,(+),(,11900,
349,,,,,,T7,N,1,(+),(,11900,
350,,,,,,T7,N,1,(+),(,11900,
351,,,,,,T7,N,1,(+),(,11900,
352,,,,,,T7,N,1,(+),(,11900,
353,,,,,,T7,N,1,(+),(,11900,
354,,,,,,T7,N,1,(+),(,11900,
355,,,,,,T7,N,1,(+),(,11900,
356,,,,,,T7,N,1,(+),(,11900,
357,,,,,,T7,N,1,(+),(,11900,
358,,,,,,T7,N,1,(+),(,11900,
359,,,,,,T7,N,1,(+),(,11900,
360,,,,,,T7,N,1,(+),(,11900,
361,,,,,,T7,N,1,(+),(,11900,
362,,,,,,T7,N,1,(+),(,11900,
363,,,,,,T7,N,1,(+),(,11900,
364,,,,,,T7,N,1,(+),(,11900,
365,,,,,,T7,N,1,(+),(,11900,
366,,,,,,T7,N,1,(+),(,11900,
367,,,,,,T7,N,1,(+),(,11900,
368,,,,,,T7,N,1,(+),(,11900,
369,,,,,,T7,N,1,(+),(,11900,
370,,,,,,T7,N,1,(+),(,11900,
371,,,,,,T7,N,1,(+),(,11900,
372,,,,,,T7,N,1,(+),(,11900,
373,,,,,,T7,N,1,(+),(,11900,
374,,,,,,T7,N,1,(+),(,11900,
375,,,,,,T7,N,1,(+),(,11900,
376,,,,,,T7,N,1,(+),(,11900,
377,,,,,,T7,N,1,(+),(,11900,
378,,,,,,T7,N,1,(+),(,11900,
379,,,,,,T7,N,1,(+),(,11900,
380,,,,,,T7,N,1,(+),(,11900,
381,,,,,,T7,N,1,(+),(,11900,
382,,,,,,T7,N,1,(+),(,11900,
383,,,,,,T7,N,1,(+),(,11900,
384,,,,,,T7,N,1,(+),(,11900,
385,,,,,,T7,N,1,(+),(,11900,
386,,,,,,T7,N,1,(+),(,11900,
387,,,,,,T7,N,1,(+),(,11900,
388,,,,,,T7,N,1,(+),(,11900,
389,,,,,,T7,N,1,(+),(,11900,
390,,,,,,T7,N,1,(+),(,11900,
391,,,,,,T7,N,1,(+),(,11900,
392,,,,,,T7,N,1,(+),(,11900,
393,,,,,,T7,N,1,(+),(,11900,
394,,,,,,T7,N,1,(+),(,11900,
395,,,,,,T7,N,1,(+),(,11900,
396,,,,,,T7,N,1,(+),(,11900,
397,,,,,,T7,N,1,(+),(,11900,
398,,,,,,T7,N,1,(+),(,11900,
399,,,,,,T7,N,1,(+),(,11900,
400,,,,,,T7,N,1,(+),(,11900,
401,,,,,,T7,N,1,(+),(,11900,
402,,,,,,T7,N,1,(+),(,11900,
403,,,,,,T7,N,1,(+),(,11900,
404,,,,,,T7,N,1,(+),(,11900,
405,,,,,,T7,N,1,(+),(,11900,
406,,,,,,T7,N,1,(+),(,11900,
407,,,,,,T7,N,1,(+),(,11900,
408,,,,,,T7,N,1,(+),(,11900,
409,,,,,,T7,N,1,(+),(,11900,
410,,,,,,T7,N,1,(+),(,11900,
411,,,,,,T7,N,1,(+),(,11900,
412,,,,,,T7,N,1,(+),(,11900,
413,,,,,,T7,N,1,(+),(,11900,
414,,,,,,T7,N,1,(+),(,11900,
415,,,,,,T7,N,1,(+),(,11900,
416,,,,,,T7,N,1,(+),(,11900,
417,,,,,,T7,N,1,(+),(,11900,
418,,,,,,T7,N,1,(+),(,11900,
419,,,,,,T7,N,1,(+),(,11900,
420,,,,,,T7,N,1,(+),(,11900,
421,,,,,,T7,N,1,(+),(,11900,
422,,,,,,T7,N,1,(+),(,11900,
423,,,,,,T7,N,1,(+),(,11900,
424,,,,,,T7,N,1,(+),(,11900,
425,,,,,,T7,N,1,(+),(,11900,
426,,,,,,T7,N,1,(+),(,11900,
427,,,,,,T7,N,1,(+),(,11900,
428,,,,,,T7,N,1,(+),(,11900,
429,,,,,,T7,N,1,(+),(,11900,
430,,,,,,T7,N,1,(+),(,11900,
431,,,,,,T7,N,1,(+),(,11900,
432,,,,,,T7,N,1,(+),(,11900,
433,,,,,,T7,N,1,(+),(,11900,
434,,,,,,T7,N,1,(+),(,11900,
435,,,,,,T7,N,1,(+),(,11900,
436,,,,,,T7,N,1,(+),(,11900,
437,,,,,,T7,N,1,(+),(,11900,
438,,,,,,T7,N,1,(+),(,11900,
439,,,,,,T7,N,1,(+),(,11900,
440,,,,,,T7,N,1,(+),(,11900,
441,,,,,,T7,N,1,(+),(,11900,
442,,,,,,T7,N,1,(+),(,11900,
443,,,,,,T7,N,1,(+),(,11900,
444,,,,,,T7,N,1,(+),(,11900,
445,,,,,,T7,N,1,(+),(,11900,
446,,,,,,T7,N,1,(+),(,11900,
447,,,,,,T7,N,1,(+),(,11900,
448,,,,,,T7,N,1,(+),(,11900,
449,,,,,,T7,N,1,(+),(,11900,
450,,,,,,T7,N,1,(+),(,11900,
451,,,,,,T7,N,1,(+),(,11900,
452,,,,,,T7,N,1,(+),(,11900,
453,,,,,,T7,N,1,(+),(,11900,
454,,,,,,T7,N,1,(+),(,11900,
455,,,,,,T7,N,1,(+),(,11900,
456,,,,,,T7,N,1,(+),(,11900,
457,,,,,,T7,N,1,(+),(,11900,
458,,,,,,T7,N,1,(+),(,11900,
459,,,,,,T7,N,1,(+),(,11900,
460,,,,,,T7,N,1,(+),(,11900,
461,,,,,,T7,N,1,(+),(,11900,
462,,,,,,T7,N,1,(+),(,11900,
463,,,,,,T7,N,1,(+),(,11900,
464,,,,,,T7,N,1,(+),(,11900,
465,,,,,,T7,N,1,(+),(,11900,
466,,,,,,T7,N,1,(+),(,11900,
467,,,,,,T7,N,1,(+),(,11900,
468,,,,,,T7,N,1,(+),(,11900,
469,,,,,,T7,N,1,(+),(,11900,
470,,,,,,T7,N,1,(+),(,11900,
471,,,,,,T7,N,1,(+),(,11900,
472,,,,,,T7,N,1,(+),(,11900,
473,,,,,,T7,N,1,(+),(,11900,
474,,,,,,T7,N,1,(+),(,11900,
475,,,,,,T7,N,1,(+),(,11900,
476,,,,,,T7,N,1,(+),(,11900,
477,,,,,,T7,N,1,(+),(,11900,
478,,,,,,T7,N,1,(+),(,11900,
479,,,,,,T7,N,1,(+),(,11900,
480,,,,,,T7,N,1,(+),(,11900,
481,,,,,,T7,N,1,(+),(,11900,
482,,,,,,T7,N,1,(+),(,11900,
483,,,,,,T7,N,1,(+),(,11900,
484,,,,,,T7,N,1,(+),(,11900,
485,,,,,,T7,N,1,(+),(,11900,
486,,,,,,T7,N,1,(+),(,11900,
487,,,,,,T7,N,1,(+),(,11900,
488,,,,,,T7,N,1,(+),(,11900,
489,,,,,,T7,N,1,(+),(,11900,
490,,,,,,T7,N,1,(+),(,11900,
491,,,,,,T7,N,1,(+),(,11900,
492,,,,,,T7,N,1,(+),(,11900,
493,,,,,,T7,N,1,(+),(,11900,
494,,,,,,T7,N,1,(+),(,11900,
495,,,,,,T7,N,1,(+),(,11900,
496,,,,,,T7,N,1,(+),(,11900,
497,,,,,,T7,N,1,(+),(,11900,
498,,,,,,T7,N,1,(+),(,11900,
499,,,,,,T7,N,1,(+),(,11900,
500,,,,,,T7,N,1,(+),(,11900,
501,,,,,,T7,N,1,(+),(,11900,
502,,,,,,T7,N,1,(+),(,11900,
503,,,,,,T7,N,1,(+),(,11900,
504,,,,,,T7,N,1,(+),(,11900,
505,,,,,,T7,N,1,(+),(,11900,
506,,,,,,T7,N,1,(+),(,11900,
507,,,,,,T7,N,1,(+),(,11900,
508,,,,,,T7,N,1,(+),(,11900,
509,,,,,,T7,N,1,(+),(,11900,
510,,,,,,T7,N,1,(+),(,11900,
511,,,,,,T7,N,1,(+),(,11900,
512,,,,,,T7,N,1,(+),(,11900,
513,,,,,,T7,N,1,(+),(,11900,
514,,,,,,T7,N,1,(+),(,11900,
515,,,,,,T7,N,1,(+),(,11900,
516,,,,,,T7,N,1,(+),(,11900,
517,,,,,,T7,N,1,(+),(,11900,
518,,,,,,T7,N,1,(+),(,11900,
519,,,,,,T7,N,1,(+),(,11900,
520,,,,,,T7,N,1,(+),(,11900,
521,,,,,,T7,N,1,(+),(,11900,
522,,,,,,T7,N,1,(+),(,11900,
523,,,,,,T7,N,1,(+),(,11900,
524,,,,,,T7,N,1,(+),(,11900,
525,,,,,,T7,N,1,(+),(,11900,
526,,,,,,T7,N,1,(+),(,11900,
527,,,,,,T7,N,1,(+),(,11900,
528,,,,,,T7,N,1,(+),(,11900,
529,,,,,,T7,N,1,(+),(,11900,
530,,,,,,T7,N,1,(+),(,11900,
531,,,,,,T7,N,1,(+),(,11900,
532,,,,,,T7,N,1,(+),(,11900,
533,,,,,,T7,N,1,(+),(,11900,
534,,,,,,T7,N,1,(+),(,11900,
535,,,,,,T7,N,1,(+),(,11900,
536,,,,,,T7,N,1,(+),(,11900,
537,,,,,,T7,N,1,(+),(,11900,
538,,,,,,T7,N,1,(+),(,11900,
539,,,,,,T7,N,1,(+),(,11900,
540,,,,,,T7,N,1,(+),(,11900,
541,,,,,,T7,N,1,(+),(,11900,
542,,,,,,T7,N,1,(+),(,11900,
543,,,,,,T7,N,1,(+),(,11900,
544,,,,,,T7,N,1,(+),(,11900,
545,,,,,,T7,N,1,(+),(,11900,
546,,,,,,T7,N,1,(+),(,11900,
547,,,,,,T7,N,1,(+),(,11900,
548,,,,,,T7,N,1,(+),(,11900,
549,,,,,,T7,N,1,(+),(,11900,
550,,,,,,T7,N,1,(+),(,11900,
551,,,,,,T7,N,1,(+),(,11900,
552,,,,,,T7,N,1,(+),(,11900,
553,,,,,,T7,N,1,(+),(,11900,
554,,,,,,T7,N,1,(+),(,11900,
555,,,,,,T7,N,1,(+),(,11900,
556,,,,,,T7,N,1,(+),(,11900,
557,,,,,,T7,N,1,(+),(,11900,
558,,,,,,T7,N,1,(+),(,11900,
559,,,,,,T7,N,1,(+),(,11900,
560,,,,,,T7,N,1,(+),(,11900,
561,,,,,,T7,N,1,(+),(,11900,
562,,,,,,T7,N,1,(+),(,11900,
563,,,,,,T7,N,1,(+),(,11900,
564,,,,,,T7,N,1,(+),(,11900,
565,,,,,,T7,N,1,(+),(,11900,
566,,,,,,T7,N,1,(+),(,11900,
567,,,,,,T7,N,1,(+),(,11900,
568,,,,,,T7,N,1,(+),(,11900,
569,,,,,,T7,N,1,(+),(,11900,
570,,,,,,T7,N,1,(+),(,11900,
571,,,,,,T7,N,1,(+),(,11900,
572,,,,,,T7,N,1,(+),(,11900,
573,,,,,,T7,N,1,(+),(,11900,
574,,,,,,T7,N,1,(+),(,11900,
575,,,,,,T7,N,1,(+),(,11900,
576,,,,,,T7,N,1,(+),(,11900,
577,,,,,,T7,N,1,(+),(,11900,
578,,,,,,T7,N,1,(+),(,11900,
579,,,,,,T7,N,1,(+),(,11900,
580,,,,,,T7,N,1,(+),(,11900,
581,,,,,,T7,N,1,(+),(,11900,
582,,,,,,T7,N,1,(+),(,11900,
583,,,,,,T7,N,1,(+),(,11900,
584,,,,,,T7,N,1,(+),(,11900,
585,,,,,,T7,N,1,(+),(,11900,
586,,,,,,T7,N,1,(+),(,11900,
587,,,,,,T7,N,1,(+),(,11900,
588,,,,,,T7,N,1,(+),(,11900,
589,,,,,,T7,N,1,(+),(,11900,
590,,,,,,T7,N,1,(+),(,11900,
591,,,,,,T7,N,1,(+),(,11900,
