sheet,table,range,column_index,excel_column,field_name,classification,inferred_type,formula_count,value_count,error_count,sample_values,formula_signatures,confidence,required,web_mapping,validation,source_status
DSTest,T_DSTest,E6:AH508,9,M,Column4,INPUT/MASTER,text,0,3,0,A.Phương | A.Long ,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,10,N,DiaChiNha,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,11,O,NgayTest,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,12,P,Tình trạng test,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,13,Q,TenLop,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,14,R,Ngày dự kiến đi học,INPUT/MASTER,date/datetime (xác minh),0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,15,S,Ngày nhập học,INPUT/MASTER,date/datetime (xác minh),0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,16,T,MaSo,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,17,U,Column3,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,18,V,GhiChu,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,19,W,Column32,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,20,X,GhiChu2,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,21,Y,Column1,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,22,Z,Tình trạng cần liên hệ,CALCULATED,text,502,502,0,Liên hệ ngay,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,23,AA,TenHV&MaSo,CALCULATED,text,502,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,24,AB,TinhTrangHoc,CALCULATED,text,502,502,0,Chưa đi học,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,25,AC,Tháng nhập học,CALCULATED,date/datetime (xác minh),502,502,0,1900-1,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,26,AD,Tình trạng nhập DSHV,CALCULATED,text,502,502,0,Đã nhập DSHV,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,27,AE,Tuần ĐK,CALCULATED,text,502,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,28,AF,Tháng ĐK,CALCULATED,date/datetime (xác minh),502,0,0,,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,29,AG,Ten&Sdt,CALCULATED,text,502,502,0, - ,1,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSTest,T_DSTest,E6:AH508,30,AH,Column2,INPUT/MASTER,text,0,0,0,,0,Thấp,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,1,E,MaLop,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,2,F,TenLop,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
DSHV,T_HV,E4:BU427,3,G,TenHV,INPUT/MASTER,text,0,0,0,,0,Cao,Chưa xác nhận,Cần mapping entity/field,Cần workshop xác nhận,EXCEL-CONFIRMED structure
