sheet,table,field,signature,example,count,rule_id,status
DSTest,T_DSTest,Tình trạng nhập DSHV,"IF(COUNTIF(T_HV[TenHV&MaSo],T_DSTest[[#This Row],[TenHV&MaSo]])>={n},""Đã nhập DSHV"",""Chưa nhập DSHV"")","IF(COUNTIF(T_HV[TenHV&MaSo],T_DSTest[[#This Row],[TenHV&MaSo]])>=1,""Đã nhập DSHV"",""Chưa nhập DSHV"")",502,FR-0035,Cần chuyển thành Business Rule và UAT
DSTest,T_DSTest,Tuần ĐK,"IF(T_DSTest[[#This Row],[NgayGap]]="""","""",WEEKNUM(T_DSTest[[#This Row],[NgayGap]],{n}))","IF(T_DSTest[[#This Row],[NgayGap]]="""","""",WEEKNUM(T_DSTest[[#This Row],[NgayGap]],2))",502,FR-0036,Cần chuyển thành Business Rule và UAT
DSTest,T_DSTest,Tháng ĐK,"IF(T_DSTest[[#This Row],[NgayGap]]="""","""",IFERROR(YEAR(T_DSTest[[#This Row],[NgayGap]])&""-""&MONTH(T_DSTest[[#This Row],[NgayGap]]),""""))","IF(T_DSTest[[#This Row],[NgayGap]]="""","""",IFERROR(YEAR(T_DSTest[[#This Row],[NgayGap]])&""-""&MONTH(T_DSTest[[#This Row],[NgayGap]]),""""))",502,FR-0037,Cần chuyển thành Business Rule và UAT
DSTest,T_DSTest,Ten&Sdt,"T_DSTest[[#This Row],[HoTenPH]]&"" - ""&T_DSTest[[#This Row],[Sdt]]","T_DSTest[[#This Row],[HoTenPH]]&"" - ""&T_DSTest[[#This Row],[Sdt]]",502,FR-0038,Cần chuyển thành Business Rule và UAT
DSHV,T_HV,HP tồn,"IFERROR(SUMIF(T_HP[MaSo],T_HV[[#This Row],[MaSo]],T_HP[Con lai]),"""")","IFERROR(SUMIF(T_HP[MaSo],T_HV[[#This Row],[MaSo]],T_HP[Con lai]),"""")",423,FR-0039,Cần chuyển thành Business Rule và UAT
DSHV,T_HV,MaSo,"IFERROR(INDEX(T_DSTest[],MATCH(T_HV[[#This Row],[TenHV]],T_DSTest[HoTenHV],{n}),MATCH(T_HV[[#Headers],[MaSo]],T_DSTest[#Headers],{n})),"""")","IFERROR(INDEX(T_DSTest[],MATCH(T_HV[[#This Row],[TenHV]],T_DSTest[HoTenHV],0),MATCH(T_HV[[#Headers],[MaSo]],T_DSTest[#Headers],0)),"""")",423,FR-0040,Cần chuyển thành Business Rule và UAT
DSHV,T_HV,Tình trạng học,"IF(T_HV[[#This Row],[TenHV]]="""","""",IF(T_HV[[#This Row],[Ngay nghi]]={n},""Đang học"",""Đã nghỉ""))","IF(T_HV[[#This Row],[TenHV]]="""","""",IF(T_HV[[#This Row],[Ngay nghi]]=0,""Đang học"",""Đã nghỉ""))",423,FR-0041,Cần chuyển thành Business Rule và UAT
DSHV,T_HV,Sđt,"INDEX(T_DSTest[[Sdt]:[MaSo]],MATCH(T_HV[[#This Row],[MaSo]],T_DSTest[MaSo],{n}),{n})","INDEX(T_DSTest[[Sdt]:[MaSo]],MATCH(T_HV[[#This Row],[MaSo]],T_DSTest[MaSo],0),1)",423,FR-0042,Cần chuyển thành Business Rule và UAT
DSHV,T_HV,Column2,"VLOOKUP(T_HV[[#This Row],[MaSo]],T_DSTest[[MaSo]:[GhiChu2]],{n},{n})","VLOOKUP(T_HV[[#This Row],[MaSo]],T_DSTest[[MaSo]:[GhiChu2]],5,0)",423,FR-0043,Cần chuyển thành Business Rule và UAT
DSHV,T_HV,TenHV&MaSo,"IFERROR(T_HV[[#This Row],[TenHV]]&T_HV[[#This Row],[MaSo]],"""")","IFERROR(T_HV[[#This Row],[TenHV]]&T_HV[[#This Row],[MaSo]],"""")",423,FR-0044,Cần chuyển thành Business Rule và UAT
DSHV,T_HV,Ho ten,"T_HV[[#This Row],[TenHV]]","T_HV[[#This Row],[TenHV]]",423,FR-0045,Cần chuyển thành Business Rule và UAT
DSHV,T_HV,MaHV,"{n}&T_HV[[#This Row],[TenLop]]&""-""&T_HV[[#This Row],[MaSo]]","3&T_HV[[#This Row],[TenLop]]&""-""&T_HV[[#This Row],[MaSo]]",423,FR-0046,Cần chuyển thành Business Rule và UAT
DSHV,T_HV,TenHV&MaHV,"T_HV[[#This Row],[TenHV]]&"".""&T_HV[[#This Row],[MaHV]]","T_HV[[#This Row],[TenHV]]&"".""&T_HV[[#This Row],[MaHV]]",423,FR-0047,Cần chuyển thành Business Rule và UAT
DSHV,T_HV,Tháng sinh nhật,"MONTH(INDEX(T_DSTest[],MATCH(T_HV[[#This Row],[TenHV&MaSo]],T_DSTest[TenHV&MaSo],{n}),MATCH(""DoB"",T_DSTest[#Headers],{n})))","MONTH(INDEX(T_DSTest[],MATCH(T_HV[[#This Row],[TenHV&MaSo]],T_DSTest[TenHV&MaSo],0),MATCH(""DoB"",T_DSTest[#Headers],0)))",423,FR-0048,Cần chuyển thành Business Rule và UAT
